user_id,name,age,occupation,city,month,income,rent,food,transport,shopping,entertainment,medical,emi,investment,total_expense,savings,saving_ratio,financial_category,risk_level
1,Rohan Gupta,46,Engineer,Jaipur,2025-01,91781,16383,7874,6013,3338,5019,1072,0,14704,54403,37378,0.41,Investor,Low
1,Rohan Gupta,46,Engineer,Jaipur,2025-02,91207,23011,8425,4161,12464,8739,5227,12593,5464,80084,11123,0.12,High Spender,High
1,Rohan Gupta,46,Engineer,Jaipur,2025-03,93861,11962,15566,4718,5117,2761,3027,0,6627,49778,44083,0.47,Investor,Low
1,Rohan Gupta,46,Engineer,Jaipur,2025-04,99597,22133,11676,6806,4051,2466,2187,11133,20461,80913,18684,0.19,Balanced,Medium
1,Rohan Gupta,46,Engineer,Jaipur,2025-05,97867,20913,12264,4989,16152,7430,2499,4341,15173,83761,14106,0.14,High Spender,High
1,Rohan Gupta,46,Engineer,Jaipur,2025-06,95866,22692,10429,9453,4800,5124,6702,0,22687,81887,13979,0.15,Balanced,Medium
1,Rohan Gupta,46,Engineer,Jaipur,2025-07,97148,12267,14263,8113,12378,8747,3070,8572,16405,83815,13333,0.14,High Spender,High
1,Rohan Gupta,46,Engineer,Jaipur,2025-08,99740,24685,8665,3645,7569,7556,1032,3994,17895,75041,24699,0.25,Balanced,Medium
1,Rohan Gupta,46,Engineer,Jaipur,2025-09,101400,25502,10997,5780,14568,2211,4282,0,17459,80799,20601,0.2,Balanced,Medium
1,Rohan Gupta,46,Engineer,Jaipur,2025-10,98327,12726,15419,3840,7088,5041,4567,0,13749,62430,35897,0.37,Investor,Low
1,Rohan Gupta,46,Engineer,Jaipur,2025-11,99241,16320,9298,5968,12259,7593,3439,14185,23971,93033,6208,0.06,High Spender,High
1,Rohan Gupta,46,Engineer,Jaipur,2025-12,92711,12356,8819,7054,2971,8018,1993,7304,4711,53226,39485,0.43,Investor,Low
2,Dev Choudhary,44,Manager,Delhi,2025-01,118949,32358,17306,9728,12802,10667,6075,12163,15417,116516,2433,0.02,High Spender,High
2,Dev Choudhary,44,Manager,Delhi,2025-02,116961,15972,16775,4018,4847,4292,1829,4801,19900,72434,44527,0.38,Investor,Low
2,Dev Choudhary,44,Manager,Delhi,2025-03,112181,13465,10671,4162,10299,2472,2203,13060,8941,65273,46908,0.42,Investor,Low
2,Dev Choudhary,44,Manager,Delhi,2025-04,114636,31281,16075,7243,5687,6768,4317,10870,12881,95122,19514,0.17,Balanced,Medium
2,Dev Choudhary,44,Manager,Delhi,2025-05,112865,15389,12896,5477,19289,3714,689,6362,8952,72768,40097,0.36,Investor,Low
2,Dev Choudhary,44,Manager,Delhi,2025-06,119403,31792,18604,6073,16632,3257,2639,11493,27659,118149,1254,0.01,High Spender,High
2,Dev Choudhary,44,Manager,Delhi,2025-07,116331,28327,15502,9833,10009,4402,6958,0,24856,99887,16444,0.14,High Spender,High
